id,name,HubDist,dem05_med,current_med,aspect05_med,slope05_med,distRiver_med,visInOut_med,visInIng_med,prom10k_med,rough_med,globRad_med
1,Cabezón de la Sierra,3216.650372,1010.005005,0.116043357,90.5062027,6.575168848,46.0977211,0.022089699,0.01876731,2,1.661529541,8905.519531
2,San Miguel,1871.656954,997.7329712,0.141093925,298.9190369,5.717142105,47.20169449,0.022971947,0.02315063,5,1.321044922,8866.089844
3,Canicosa de la Sierra,191.6023747,1123.578979,0.102357018,220.7971497,7.319068909,65,0.143560708,0.135475293,20,1.790039063,8982.154297
4,La Mola,4440.108149,968.4810181,0.154368544,229.8050995,5.228419304,101.965683,0.105361611,0.132783882,21,1.270996094,8963.65625
5,Saelices,3864.635509,997.3585205,0.098000472,151.5945892,11.03345633,119.0105057,0.10202805,0.109756097,19,2.639007568,8948.081543
6,Santiuste,5250.14927,1005.11499,0.139198634,55.07818604,5.725236893,524.1936646,0.131354421,0.128919855,35,1.380004883,8825.458008
7,La Cerca,2112.321778,1189.8255,0.110796637,178.0203323,14.04433393,343.816803,0.23877646,0.220439121,61,3.359924316,9029.17627
8,Revenga,1308.016252,1110.80304,0.185682143,230.2124939,7.053043365,68.87670135,0.19872912,0.203916512,53,1.66204834,9003.154785
9,Covaleda,7135.356637,1210.78949,0.156432815,173.8781662,5.676295757,124.4728889,0.3018516,0.283860445,98,1.373474121,9035.932129
10,Pozo de San Millán,6042.734977,1188.447998,0.092198243,231.0549316,17.18843651,30.08321762,0.111481506,0.115339942,18,4.208007813,8836.649414
11,Duruelo de la Sierra,7680.998708,1197.529053,0.222471641,205.729248,3.883271933,149.8332367,0.317955405,0.290628076,149,0.969970703,9043.165039
12,El Castillo (Hacinas),383.0175271,1000.015503,0.082440962,146.6512909,11.42188978,274.1040039,0.205915526,0.190023899,68.5,2.663970947,8879.590332
13,Covacha de las Monjas,6490.683982,985.2234802,0.12143847,244.6193237,11.80660343,24.51530075,0.010732154,0.012211874,0,2.661499023,8767.195801
14,Hornillos,9141.733544,1043.30603,0.132657864,80.3290863,6.605876446,104.2784729,0.071383901,0.068703651,10,1.630981445,8919.402344
15,Pajares,7414.346623,1518.159058,0.075767658,139.1672516,15.31398964,113.0707779,0.188990891,0.191503614,52,3.940917969,9060.308594
16,Quintanar,9296.243068,1142.288025,0.115747855,207.2120132,5.822313786,9.486832619,0.094383769,0.111827705,20,1.359985352,9025.695801
17,Torneros,6621.100457,1011.055481,0.067901411,99.06021881,17.59373188,36.12478256,0.029694898,0.032397479,4,3.663543701,8689.86084
18,Viguillas,5193.573986,1000.177521,0.071939568,291.1795349,13.16472244,33.01514816,0.079938352,0.085354686,30,3.252471924,8709.565918
19,El Villar,6425.752151,997.0900269,0.106169003,128.7388611,15.57436752,110.5712433,0.034240149,0.038405702,2,3.858032227,8902.736328
20,Bustomediano,9827.647456,1326.579956,0.120506542,163.2518616,5.570717812,410.8442383,0.21794872,0.204391137,79,1.272949219,9120.047852
21,Prado Mediano,9747.80933,1216.432983,0.094062793,196.4621887,9.626481056,454.7142029,0.193273693,0.20512262,38,2.119018555,9108.638672
22,El Veinte,7662.077889,1062.321045,0.090997826,201.6566772,9.223581314,102.4158173,0.087152682,0.087733403,20,2.139892578,9012.579102
23,Monasterio de la Sierra,7007.455013,1164.790039,0.089528084,261.1543579,10.76615715,148.8220367,0.080351561,0.083914056,18,2.452026367,8922.760742
24,Moncalvillo,6833.595983,1074.496948,0.081661471,116.766922,16.10030556,72.20111084,0.039689986,0.048411954,3,3.71496582,8722.606445
25,Neila,532.2481971,1170.074951,0.162529658,104.5552139,5.666154385,57.69748688,0.125591889,0.127200037,20,1.437988281,8955.266602
26,Prados de Bañuelos,5011.222071,1062.800964,0.327906289,192.9399567,2.004102468,65.04997635,0.106277362,0.122537524,43,0.51550293,9003.748047
27,El Castillo (Palacios de la Sierra),6607.737987,1102.171997,0.074034533,197.5483704,14.09281349,145.0086212,0.172842398,0.187885284,57,3.096069336,8977.334961
29,Cueva Andrés,2328.079565,1185.608032,0.160045494,258.5587769,8.746190071,53.2634964,0.067385867,0.053593762,32,1.942016602,8930.09375
30,Peñalbas,1367.797685,1557.88501,0.12503511,194.2045746,4.426416397,607.2973022,0.050947022,0.033257393,9,1.255981445,8790.807617
31,Quintanar de la Sierra,1238.014878,1112.679504,0.251707438,129.5661545,7.171491861,177.783577,0.168738276,0.149870455,71,1.859069824,8985.48291
33,Cuyacabras,2014.91664,1204.381042,0.113751533,260.5858459,7.982502222,110.367569,0.236515008,0.22165639,60,1.97052002,8903.525879
34,Regumiel de la Sierra,3382.263832,1121.544495,0.108528001,178.883728,10.88185692,113.4063492,0.184255786,0.190800048,27,2.680541992,8954.064941
35,Arroyo de Salas,3976.84606,1071.166992,0.074871349,120.5306778,10.0792675,50.7740097,0.033061959,0.041856516,16,2.449951172,8970.043945
36,Castrovido,3698.132357,1002.777496,0.066689219,231.314003,16.99954987,131.2440491,0.136759579,0.159513757,30,4.255493164,8929.038574
37,Hoyuelos,2959.037458,1107.01001,0.099679096,165.1164551,7.598644733,448.3257751,0.088185698,0.098002099,12,1.882019043,9052.630371
38,Salas de los Infantes,1554.139614,963.2514954,0.131299084,217.6639099,5.197602272,244.0758057,0.230836242,0.216820776,54,1.267486572,8973.958008
39,Terrazas,5364.496373,984.1400146,0.079843992,210.4657288,10.42007351,65.92420197,0.033592423,0.033229472,7,2.59197998,8999.65918
40,El Castillo (Vilviestre del Pinar),2752.596234,1136.084961,0.080221909,203.0336761,12.34081745,87.66413116,0.233371302,0.2088973,68,2.927001953,8977.152344
44,San Juan,400.7416074,934.0529785,0.379131874,70.8500824,2.432953119,61.07372665,0.09581323,0.089838516,12,0.585998535,8896.69043
76,Salguero,1287.37635,1077.416504,0.056396062,163.1137314,22.66436005,90.1997757,0.129344232,0.135402709,28.5,5.439025879,8349.70752
104,Nuestra Señora del Amparo,386.9951445,947.7525024,0.11700434,96.55368042,4.805966616,116.2110138,0.272971958,0.255662017,73,1.111999512,8920.710938
106,Peña Los Sepulcros,1979.141123,1001.262024,0.106022946,64.76133728,10.77233219,90.90378952,0.073438756,0.055581613,15,2.409973145,8701.912109
143,"Nava, La",6771.587948,1198.777466,0.149329283,233.903862,3.125509501,176.2554932,0.154845662,0.178889714,60,0.73651123,9037.811035
162,San Martín Quintanar,694.4702309,1246.453979,0.098077232,204.9327393,10.82858372,128.8603821,0.349850357,0.330530256,119,2.593017578,9029.214844
184,Peñarrota,1430.915323,960.0289917,0.103950765,121.9679871,15.50105524,38.04601097,0.177348569,0.219568029,39,3.945007324,8722.134766
